planning_key,milestone,owner,reviewer,effort,title,dependencies
CATMS-001,G0,Dev1,All,S,"Confirm Phase 1 scope and source-of-truth hierarchy",""
CATMS-002,G0,Dev1,All,M,"Approve production ERD, naming, datatypes and delete policies","CATMS-001"
CATMS-003,G0,Dev2,Dev1,M,"Freeze user roles, branch scope and permission matrix","CATMS-001"
CATMS-004,G0,Dev1,Dev2,M,"Freeze appointment, scheduling and time semantics","CATMS-002; CATMS-003"
CATMS-005,G0,Dev4,"Dev1; Dev3",M,"Freeze clinical price and invoice calculation rules","CATMS-002"
CATMS-006,G0,Dev3,"Dev4; Dev1",M,"Freeze insurance eligibility, multiple-policy and claim rules","CATMS-002; CATMS-005"
CATMS-007,G0,Dev5,All,S,"Freeze report definitions, filters and date bases","CATMS-003; CATMS-004; CATMS-005; CATMS-006"
CATMS-008,G0,Dev3,"Dev4; Dev5; Dev1",M,"Create signed golden financial worked example","CATMS-005; CATMS-006; CATMS-007"
CATMS-009,G0,Dev1,Dev2,M,"Configure project board, ownership, migration registry and PR rules","CATMS-001; CATMS-002"
CATMS-010,G1,Dev1,Dev2,M,"Create final repository folder structure and contributor commands","CATMS-009"
CATMS-011,G1,Dev1,Dev2,L,"Create local PostgreSQL Docker Compose service","CATMS-010"
CATMS-012,G1,Dev1,Dev4,L,"Implement migration runner, extensions and migration metadata","CATMS-011"
CATMS-013,G1,Dev1,Dev2,L,"Create Express/TypeScript backend skeleton","CATMS-010"
CATMS-014,G1,Dev1,Dev5,L,"Create CI foundation","CATMS-011; CATMS-012; CATMS-013"
CATMS-015,G1,Dev2,Dev1,L,"Implement Branch and Employee schema","CATMS-002; CATMS-012"
CATMS-016,G1,Dev2,Dev1,L,"Implement staff/manager assignment history schema","CATMS-015"
CATMS-017,G1,Dev2,Dev1,L,"Implement doctor, specialty, user-account and role schema","CATMS-015; CATMS-016"
CATMS-018,G1,Dev3,Dev1,L,"Implement Patient, identity and emergency-contact schema","CATMS-015; CATMS-012"
CATMS-019,G1,Dev3,Dev4,L,"Implement provider, policy and effective coverage schema","CATMS-018; CATMS-020"
CATMS-020,G1,Dev4,Dev3,M,"Implement treatment category and catalogue schema","CATMS-012"
CATMS-021,G1,Dev5,All,M,"Create tiny fixture and evidence templates","CATMS-015; CATMS-017; CATMS-018; CATMS-019; CATMS-020"
CATMS-022,G1,Dev1,Dev4,M,"Create database schema-test harness","CATMS-012; CATMS-021"
CATMS-023,G2,Dev2,Dev1,L,"Implement staff registration, assignment and deactivation procedures","CATMS-016; CATMS-017"
CATMS-024,G2,Dev2,Dev1,L,"Implement manager/specialty integrity and database grants","CATMS-003; CATMS-023"
CATMS-025,G2,Dev3,Dev1,M,"Implement atomic patient-registration procedure","CATMS-018; CATMS-021"
CATMS-026,G2,Dev3,Dev4,M,"Implement policy and coverage lifecycle procedures","CATMS-019; CATMS-006"
CATMS-027,G2,Dev1,Dev2,L,"Implement doctor availability and exception schema/rules","CATMS-017; CATMS-004"
CATMS-028,G2,Dev1,Dev4,L,"Implement appointment schema and overlap exclusion","CATMS-017; CATMS-018; CATMS-027"
CATMS-029,G2,Dev1,"Dev2; Dev3",L,"Implement transactional booking procedure","CATMS-025; CATMS-027; CATMS-028"
CATMS-030,G2,Dev1,Dev4,L,"Implement reschedule, status, cancellation and walk-in procedures","CATMS-029"
CATMS-031,G2,Dev1,Dev5,L,"Prove scheduling constraints and concurrency","CATMS-030"
CATMS-032,G2,Dev4,Dev3,M,"Implement consultation-note and revision model","CATMS-030"
CATMS-033,G2,Dev4,Dev3,M,"Implement delivered treatment and price-snapshot rules","CATMS-020; CATMS-030; CATMS-005"
CATMS-034,G2,Dev4,"Dev3; Dev1",L,"Implement invoice and immutable invoice-line generation","CATMS-033; CATMS-005"
CATMS-035,G2,Dev4,"Dev3; Dev1",L,"Implement patient/insurer payment and reversal procedures","CATMS-034; CATMS-039; CATMS-006"
CATMS-036,G2,Dev4,Dev1,L,"Prove clinical, invoice and payment transactions","CATMS-032; CATMS-033; CATMS-034; CATMS-035"
CATMS-037,G2,Dev3,Dev4,M,"Implement insurance claim, claim-line and status-history schema","CATMS-019; CATMS-034"
CATMS-038,G2,Dev3,Dev4,L,"Implement claim eligibility and submission procedure","CATMS-026; CATMS-037; CATMS-008"
CATMS-039,G2,Dev3,"Dev4; Dev1",L,"Implement claim resolution and liability recalculation","CATMS-038; CATMS-034"
CATMS-040,G2,Dev3,Dev4,L,"Prove insurance and claim rules","CATMS-039"
CATMS-041,G2,Dev5,All,L,"Prototype all five report queries against tiny fixture","CATMS-030; CATMS-034; CATMS-035; CATMS-039"
CATMS-042,G2,Dev5,All,M,"Assemble complete deterministic tiny integration fixture","CATMS-021; CATMS-031; CATMS-036; CATMS-040"
CATMS-043,G3,Dev1,Dev2,L,"Implement database pool, transaction and SET LOCAL ROLE helper","CATMS-024; CATMS-013"
CATMS-044,G3,Dev1,Dev2,M,"Implement logging, error envelope, health and graceful shutdown","CATMS-013; CATMS-043"
CATMS-045,G3,Dev2,Dev1,L,"Implement login, logout, session, CSRF and account protection","CATMS-017; CATMS-024; CATMS-043"
CATMS-046,G3,Dev2,Dev1,L,"Implement Branch, Staff and Access API","CATMS-023; CATMS-024; CATMS-045"
CATMS-047,G3,Dev2,Dev1,M,"Add authentication and administration API tests","CATMS-045; CATMS-046"
CATMS-048,G3,Dev3,Dev2,L,"Implement Patient and Insurance Terms API","CATMS-025; CATMS-026; CATMS-045"
CATMS-049,G3,Dev3,Dev4,L,"Implement Claims API and tests","CATMS-038; CATMS-039; CATMS-045"
CATMS-050,G3,Dev1,Dev2,L,"Implement Appointments API","CATMS-029; CATMS-030; CATMS-045"
CATMS-051,G3,Dev1,Dev5,M,"Add appointment API and concurrency mapping tests","CATMS-050"
CATMS-052,G3,Dev4,Dev3,L,"Implement Clinical, Catalogue and Invoice API","CATMS-032; CATMS-033; CATMS-034; CATMS-045"
CATMS-053,G3,Dev4,"Dev3; Dev1",M,"Implement Payment and Reversal API","CATMS-035; CATMS-039; CATMS-045"
CATMS-054,G3,Dev4,Dev1,M,"Add clinical, invoice and payment API tests","CATMS-052; CATMS-053"
CATMS-055,G3,Dev5,Dev1,S,"Implement report/import API contract skeleton","CATMS-041; CATMS-044; CATMS-045"
CATMS-056,G4,Dev1,Dev2,L,"Add typed API client, TanStack Query and session bootstrap","CATMS-044; CATMS-045"
CATMS-057,G4,Dev1,"Dev3; Dev4",M,"Refactor feature folders and split Finance ownership boundary","CATMS-056"
CATMS-058,G4,Dev2,Dev1,L,"Connect Login and Administration frontend","CATMS-046; CATMS-047; CATMS-056; CATMS-057"
CATMS-059,G4,Dev3,Dev2,L,"Connect Patient and Insurance frontend","CATMS-048; CATMS-056; CATMS-057"
CATMS-060,G4,Dev3,Dev4,M,"Connect Claim submission and review frontend","CATMS-049; CATMS-057; CATMS-059"
CATMS-061,G4,Dev1,Dev2,L,"Connect Appointments and scheduling dashboard frontend","CATMS-050; CATMS-051; CATMS-056"
